num,u,1,2,3,4,5,6,q,e
1,2,κελεύω,κελεύσω,ἐκέλευσα,κεκέλευκα,κεκέλευσμαι,ἐκελεύσθην,,"order, command"
2,2,λύ̄ω,λύ̄σω,ἔλῡσα,λέλυκα,λέλυμαι,ἐλύθην,l;s(4-6),release; dissolve; destroy
3,2,παιδεύω,παιδεύσω,ἐπαίδευσα,πεπαίδευκα,πεπαίδευμαι,ἐπαιδεύθην,,"educate, teach"
4,2,πέμπω,πέμψω,ἔπεμψα,πέπομφα,πέπεμμαι,ἐπέμφθην,,send
5,3,γράφω,γράψω,ἔγραψα,γέγραφα,γέγραμμαι,ἐγράφην,,"write, draw"
6,3,θύ̄ω,θύ̄σω,ἔθῡσα,τέθυκα,τέθυμαι,ἐτύθην,l;s(4-6),sacrifice
7,3,παύω,παύσω,ἔπαυσα,πέπαυκα,πέπαυμαι,ἐπαύθην,,"make stop, stop"
8,3,φυλάττω,φυλάξω,ἐφύλαξα,πεφύλαχα,πεφύλαγμαι,ἐφυλάχθην,,guard
9,4,διδάσκω,διδάξω,ἐδίδαξα,δεδίδαχα,δεδίδαγμαι,ἐδιδάχθην,,teach
10,4,ἐθέλω,ἐθελήσω,ἠθέλησα,ἠθέληκα,-,-,,"be willing, wish"
11,4,θάπτω,θάψω,ἔθαψα,-,τέθαμμαι,ἐτάφην,,bury
12,4,τάττω,τάξω,ἔταξα,τέταχα,τέταγμαι,ἐτάχθην,,"draw up in order, station, appoint"
13,5,ἄρχω,ἄρξω,ἦρξα,ἦρχα,ἦργμαι,ἦρχθην,,"rule, command (+G)"
14,5,βλάπτω,βλάψω,ἔβλαψα,βέβλαφα,βέβλαμμαι,ἐβλάβην / ἐβλάφθην,,"hurt, harm"
15,5,πείθω,πείσω,ἔπεισα,πέπεικα,πέπεισμαι,ἐπείστην,,persuade
16,5,πρά̄ττω,πρά̄ξω,ἔπρᾱξα,πέπρᾱχα / πέπρᾱγα,πέπρᾱγμαι,ἐπρά̄χθην,l,do; fare
17,6,δουλεύω,δουλεύσω,ἐδούλευσα,δεδούλευκα,-,-,,be a slave (+D)
18,6,κωλύ̄ω,κωλύ̄σω,ἐκώλῡσα,κεκώλῡκα,κεκώλῡμαι,ἐκωλύ̄θην,l,"hinder, prevent"
19,6,πολῑτεύω,πολῑτεύσω,ἐπολί̄τευσα,πεπολί̄τευκα,πεπολί̄τευμαι,ἐπολῑλεύθην,l,live as a citizen; conduct the government
20,6,χορεύω,χορεύσω,ἐχόρευσα,κεχόρευκα,κεχόρευμαι,ἐχορεύθην,,"dance, perform in a chorus"
21,7,κλέπτω,κλέψω,ἔκλεψα,κέκλοφα,κέκλεμμαι,ἐκλάπην,,steal
22,7,λείπω,λείψω,ἔλιπον,λέλοιπα,λέλειμμαι,ἐλείφθην,,"leave, leave behind"
23,7,σῴζω,σώσω,ἔσωσα,σέσωκα,σέσωσμαι / σέσομαι,ἐσώθην,,save
24,8,ἄγω,ἄξω,ἤγαγον,ἦχα,ἦγμαι,ἤχθην,,lead
25,8,ἥκω,ἥξω,-,-,-,-,,"have come, be present"
26,9,ἀδικέω,ἀδικήσω,ἠδίκησα,ἠδίκηκα,ἠδίκημαι,ἠδικήθην,,do wrong
27,9,νῑκάω,νῑκήσω,ἐνί̄κησα,νενί̄κηκα,νενί̄κημαι,ἐνί̄χήθην,l,win; conquer
28,9,ποιέω, ,ἐποίησα,πεποίηκα,πεποίημαι,ἐποιήθην,,make; do
29,9,τῑμάω,τῑμήσω,ἐτί̄μησα,τετί̄μηκα,τετί̄μημαι,ἐτῑμήθην,l,honor
30,10,ἀγγέλλω,ἀγγελῶ,ἤγγειλα,ἤγγελκα,ἤγγελμαι,ἠγγέλθην,,announce
31,10,ἀξιόω,ἀξιώσω,ἠξίωσα,ἠξίωκα,ἠξίωμαι,ἠξιώθην,,"think it right, expect"
32,10,δηλόω,δηλώσω,ἐδήλωσα,δεδήλωκα,δεδήλωμαι,ἐδηλώθην,,make clear
33,10,καλέω,καλῶ,ἐκάλεσα,κέκληκα,κέκλημαι,ἐκλήθην,,call
34,10,μένω,μενῶ,ἔμεινα,μεμένηκα,-,-,,"remain, stay"
35,10,τελευτάω,τελευτήσω,ἐτελεύτησα,τετελεύτηκα,τετελέυτημαι,ἐτελευτήθην,,finish; die
36,11,ἀκούω,ἀκούσομαι,ἤκουσα,ἀκήκοα,-,ἠκούσθην,,hear (+A smth; +G smn); be spoken of
37,11,βάλλω,βαλῶ,ἔβαλον,βέβληκα,βέβλημαι,ἐβλήθην,,throw; hit with projectile
38,11,βούλομαι,βουλήσομαι,-,-,βεβούλημαι,ἐβουλήθην,,want
39,11,δέχομαι,δέξομαι,ἐδεξάμην,-,δέδεγμαι,-,,receive; welcome
40,11,ἀποδέχομαι,ἀποδέξομαι,ἀπεδεξάμην,-,ἀποδέδεγμαι,-,,"accept, receive favorably"
41,11,λαμβάνω,λήψομαι,ἔλαβον,εἴληφα,εἴλημμαι,ἐλήφθην,,take
42,11,πάσχω,πείσομαι,ἔπαθον,πέπονθα,-,-,,"suffer, have done to one"
43,12,δίδωμι,δώσω,ἔδωκα,δέδωκα,δέδομαι,ἐδόθην,,give
44,12,ἵστημι,στήσω,ἔστησα,-,ἕσταμαι,ἐστάθην,,make stand
45,12,ἵσταμαι,στήσομαι,ἔστην,ἕστηκα,-,-,,stand
46,12,ἀφίστημι,ἀποστήσω,ἀπέστησα / ἀπέστην,ἀφέστηκα,ἀφέσταμαι,ἀπεστάθην,,cause to revolt
47,12,ἀποδίδωμι,ἀποδώσω,ἀπέδωκα,ἀποδέδωκα,ἀποδέδομαι,ἀπεδόθην,,"give back, pay, permit; (mid.) sell"
48,12,καθίστημι,καταστήσω,κατέστησα,-,καθέσταμαι,κατεστάθην,,"appoint, establish, put into a state"
49,12,καθίσταμαι,καταστήσομαι,κατέστην,καθέστηκα,-,-,,"be established, enter into a state"
50,12,καταλύ̄ω,καταλύ̄σω,κατέλῡσα,καταλέλυκα,καταλέλυμαι,κατελύθην,l;s(4-6),destroy; dissolve
51,12,τίθημι,θήσω,ἔθηκα,τέθηκα,τέθειμαι,ἐτέθην,,put
52,12,ἀνατίθημι,ἀναθήσω,ἀνέθηκα,ἀνατέθηκα,ἀνατέθειμαι,ἀνετέθην,,"set up, dedicate"
53,12,φιλέω,φιλήσω,ἐφίλησα,πεφίληκα,πεφίλημαι,ἐφιλήθην,,love
54,12,φοβέομαι,φοβήσομαι,-,-,πεφόβημαι,ἐφοβήθην,,"fear, be afraid"
55,13,γίγνομαι,γενήσομαι,ἐγενόμην,γέγονα,γεγένημαι,-,,be born; become; happen
56,13,ἔρχομαι,ἐλεύσομαι,ἦλθον,ἐλήλυθα,-,-,,"come, go"
57,13,μανθάνω,μαθήσομαι,ἔμαθον,μεμάθηκα,-,-,,"learn, understand"
58,13,μάχομαι,μαχοῦμαι,ἐμαχησάμην,-,μεμάχημαι,-,,fight (+D)
59,13,μεταδίδωμι,μεταδώσω,μετέδωκα,μεταδέδωκα,μεταδέδομαι,μετεδόθην,,give a share to
60,13,μετανίσταμαι,μεταναστήσομαι,μετανέστην,μετανέστηκα,-,-,,migrate
61,13,μηχανάομαι,μηχανήσομαι,ἐμηχανηάμην,-,μεμηχάνημαι,-,,"contrive, devise"
62,13,φεύγω,φεύξομαι,ἔφυγον,πέφευγα,-,-,,flee; be in exile; be a defendant
63,14,δείκνῡμι,δείξω,ἔδειξα,δέδεικα,δέδειγμαι,ἐδείχθην,l,show
64,14,ἐπανίσταμαι,ἐπαναστήσομαι,ἐπανέστην,ἐπανέστηκα,-,-,,rise in insurrection against (+D)
65,14,ἐρωτάω,ἐρωτήσω,ἠρώτησα,ἠρώτηκα,ἠρώτημαι,ἠρωτήθην,,"ask, question"
66,14,λανθάνω,λήσω,ἔλαθον,λέληθα,,,,escape the notice of (+A) (+participle)
67,14,τυνχάνω,τεύξομαι,ἔτυχον,τετύχηκα,,,,happen to (+participle); hit the mark; obtain (+G)
68,14,ὑπακούω,ὑπακούσομαι,ὑπήκουσα,ὑπακήκοα,-,ὑπηκούσθην,,"heed, obey (+G,D)"
69,14,ὑπομένω,ὑπομενῶ,ὑπέμεινα,ὑπομεμένηκα,,,,await; stand firm; endure
70,14,φθάνω,φθήσομαι,ἔφθασα / ἔφθην,,,,,act first; be first (in doing something); anticipate (someone)
71,14,χαίρω,χαιρήσω,,κεχάρηκα,,ἐχάρην,,"rejoice in, take pleasure in, enjoy (+D)"
72,15,αἱρέω,αἱρήσω,εἷλον,ᾕρηκα,ᾕρημαι,ᾑρέθην,,"take, capture; (mid.) choose"
73,15,αἰσθάνομαι,αἰσθήσομαι,ᾐσθόμην,,ᾐσθήμαι,,,"perceive (+G,A)"
74,15,ἕπομαι,ἕψομαι,ἑσπόμην,,,,,"follow, pursue (+D)"
75,15,ὁράω,ὄψομαι,εἶδον,ἑόρᾱκα / ἑώρᾱκα,ἑώρᾱμαι / ὦμμαι,ὤφθην,,see
76,15,φέρω,οἴσω,ἤνενγκα / ἤνεγκον,ἐνήνοχα,ἐνήνεγμαι,ἠνέχθην,,"bring, bear, carry; (mid.) win"
77,15,ἐιμί,ἔσομαι,-,-,-,-,,be
